minute,Y,d,maximise,multiple_of_5,last_digit_3,last_digit_7,seconds_remaining,is_critical
40,1.0,0,1,True,False,False,50,0
40,1.09,1,1,True,False,False,60,0
44,1.05,0,0,False,False,False,37,0
45,7.68,0,0,True,False,False,36,0
45,1.39,0,1,True,False,False,11,0
51,1.83,0,1,False,False,False,19,0
51,1.25,1,1,False,False,False,5,0
52,1.7,0,1,False,False,False,46,0
52,1.43,0,1,False,False,False,25,0
52,1.19,1,1,False,False,False,5,0
53,1.74,0,1,False,True,False,49,0
53,5.2,0,1,False,True,False,29,0
54,4.72,0,0,False,False,False,53,0
54,1.68,0,0,False,False,False,20,0
55,2.69,0,1,True,False,False,60,0
55,2.76,0,0,True,False,False,34,0
55,7.78,1,0,True,False,False,6,0
56,2.09,0,0,False,False,False,29,0
56,1.28,1,0,False,False,False,4,0
57,12.49,0,1,False,False,True,36,1
58,1.18,0,0,False,False,False,49,0
58,1.41,0,1,False,False,False,35,0
58,2.47,0,1,False,False,False,15,0
59,3.17,0,0,False,False,False,51,0
59,3.95,0,0,False,False,False,22,0
0,5.02,0,0,True,False,False,49,0
0,1.64,0,0,True,False,False,14,0
1,1.73,0,1,False,False,False,52,0
1,1.77,0,1,False,False,False,13,0
2,19.18,0,1,False,False,False,60,1
2,6.26,1,0,False,False,False,7,0
3,6.11,0,0,False,True,False,29,0
4,1.83,0,0,False,False,False,50,0
4,1.42,0,1,False,False,False,21,0
4,5.18,1,1,False,False,False,6,0
5,1.44,0,0,True,False,False,22,0
5,1.96,1,1,True,False,False,3,0
6,1.19,0,1,False,False,False,36,0
6,2.42,0,1,False,False,False,17,0
7,2.33,0,0,False,False,True,47,0
7,2.08,0,0,False,False,True,22,0
8,6.73,0,0,False,False,False,52,0
8,3.21,0,0,False,False,False,13,0
9,2.23,0,0,False,False,False,45,0
9,9.96,0,0,False,False,False,17,0
10,1.7,0,0,True,False,False,31,0
10,3.49,1,1,True,False,False,9,0
11,1.16,0,0,False,False,False,39,0
11,1.36,0,1,False,False,False,19,0
12,1.02,0,1,False,False,False,58,0
12,1.45,0,1,False,False,False,40,0
12,1.8,0,1,False,False,False,19,0
13,1.35,0,1,False,True,False,58,0
13,1.4,0,1,False,True,False,41,0
13,1.02,0,1,False,True,False,19,0
13,2.05,1,1,False,True,False,8,0
14,2.17,0,0,False,False,False,42,0
14,1.32,0,0,False,False,False,18,0
14,3.61,1,1,False,False,False,1,0
15,1.3,0,0,True,False,False,31,0
15,1.12,0,1,True,False,False,13,0
16,1.02,0,1,False,False,False,55,0
16,2.36,0,1,False,False,False,38,0
16,1.04,0,0,False,False,False,15,0
16,6.05,1,1,False,False,False,3,0
17,3.29,0,0,False,False,True,25,0
18,1.06,0,0,False,False,False,58,0
18,5.53,0,1,False,False,False,43,0
18,6.75,1,0,False,False,False,7,0
19,32.72,0,0,False,False,False,32,1
20,5.92,0,0,True,False,False,34,0
20,1.66,1,0,True,False,False,1,0
21,1.22,0,1,False,False,False,41,0
21,3.41,0,1,False,False,False,25,0
22,3.34,0,0,False,False,False,57,0
22,2.66,0,0,False,False,False,28,0
22,2.84,1,0,False,False,False,1,0
23,10.68,0,0,False,True,False,30,0
24,1.0,0,0,False,False,False,46,0
24,1.47,0,1,False,False,False,27,0
24,1.15,1,1,False,False,False,7,0
25,1.0,0,1,True,False,False,47,0
25,1.0,0,1,True,False,False,32,0
25,2.72,0,1,True,False,False,18,0
26,3.05,0,0,False,False,False,51,0
26,1.91,0,0,False,False,False,22,0
27,16.53,0,1,False,False,True,60,1
27,1.99,1,0,False,False,True,9,0
28,1.78,0,1,False,False,False,47,0
29,3.98,0,1,False,False,False,43,0
29,26.47,0,0,False,False,False,10,1
30,14.04,0,0,True,False,False,10,1
31,3.01,0,0,False,False,False,24,0
32,393.46,0,0,False,False,False,54,1
33,2.32,0,0,False,True,False,21,0
34,2.59,0,0,False,False,False,58,0
34,1.55,0,0,False,False,False,24,0
34,1.55,1,1,False,False,False,3,0
35,2.04,0,1,True,False,False,41,0
35,1.59,0,0,True,False,False,17,0
36,2.7,0,1,False,False,False,53,0
36,8.21,0,0,False,False,False,21,0
37,3.35,0,0,False,False,True,40,0
37,1.14,1,0,False,False,True,6,0
38,1.37,0,1,False,False,False,45,0
38,1.38,0,1,False,False,False,21,0
39,8.3,0,1,False,False,False,60,0
39,1.63,0,0,False,False,False,11,0
40,75.0,0,1,True,False,False,49,1
41,1.33,0,0,False,False,False,37,0
42,13.3,0,1,False,False,False,52,1
42,8.31,0,0,False,False,False,28,0
43,1.12,0,0,False,True,False,43,0
43,2.45,0,1,False,True,False,24,0
44,4.53,0,0,False,False,False,54,0
44,3.17,0,0,False,False,False,14,0
45,8.16,0,0,True,False,False,43,0
46,1.26,1,0,False,False,False,9,0
47,1.19,0,1,False,False,True,44,0
47,3.25,0,1,False,False,True,22,0
48,6.33,0,0,False,False,False,51,0
48,1.19,1,0,False,False,False,5,0
49,1.67,0,1,False,False,False,40,0
49,20.73,0,1,False,False,False,14,1
50,1.76,0,0,True,False,False,17,0
51,17.43,0,1,False,False,False,52,0
52,2.24,0,0,False,False,False,57,0
52,1.59,0,0,False,False,False,31,0
52,13.98,1,1,False,False,False,4,1
53,1.0,1,0,False,True,False,6,0
54,1.18,0,1,False,False,False,48,0
54,1.36,0,1,False,False,False,22,0
55,23.65,0,1,True,False,False,60,1
56,1.25,0,0,False,False,False,57,0
56,2.27,0,1,False,False,False,39,0
56,3.32,1,0,False,False,False,9,0
0,3.92,0,0,True,False,False,46,0
0,1.17,0,0,True,False,False,39,0
0,2.52,0,1,True,False,False,16,0
1,2.56,0,0,False,False,False,45,0
1,1.27,0,0,False,False,False,17,0
2,2.73,0,1,False,False,False,54,0
3,4.13,0,0,False,True,False,48,0
3,1.18,1,0,False,True,False,9,0
4,3.08,0,1,False,False,False,49,0
4,2.33,0,0,False,False,False,13,0
5,1.31,0,0,True,False,False,43,0
5,1.0,0,1,True,False,False,18,0
6,1.08,0,1,False,False,False,56,0
6,2.78,0,1,False,False,False,34,0
6,1.11,1,0,False,False,False,5,0
7,256.15,0,1,False,False,True,42,1
8,2.08,0,0,False,False,False,11,0
9,1.26,0,0,False,False,False,47,0
9,11.84,0,1,False,False,False,14,1
10,3.21,0,0,True,False,False,26,0
11,1.03,0,0,False,False,False,47,0
11,2.11,0,1,False,False,False,21,0
12,1.4,0,0,False,False,False,54,0
12,2.44,0,1,False,False,False,29,0
13,1.03,0,0,False,True,False,59,0
13,1.01,0,1,False,True,False,33,0
13,7.36,1,1,False,True,False,7,0
14,1.5,0,0,False,False,False,26,0
14,1.03,1,1,False,False,False,5,0
15,1.01,0,1,True,False,False,47,0
15,1.85,0,1,True,False,False,26,0
15,2.95,1,1,True,False,False,3,0
16,1.85,0,0,False,False,False,32,0
16,1.41,1,1,False,False,False,7,0
17,4.43,0,1,False,False,True,40,0
17,3.86,1,0,False,False,True,8,0
18,1.74,0,0,False,False,False,32,0
18,2.17,0,1,False,False,False,10,0
19,4.9,0,0,False,False,False,35,0
20,1.1,0,0,True,False,False,55,0
20,1.52,0,1,True,False,False,36,0
20,4.41,0,1,True,False,False,12,0
21,10.07,0,0,False,False,False,39,0
22,1.04,0,0,False,False,False,54,0
22,10.24,0,1,False,False,False,36,1
23,2.75,0,0,False,True,False,49,0
23,3.02,0,0,False,True,False,20,0
24,1.71,0,0,False,False,False,51,0
24,1.88,0,1,False,False,False,27,0
24,3.54,1,1,False,False,False,1,0
25,6.94,0,0,True,False,False,15,0
26,1.25,0,0,False,False,False,32,0
26,4.23,0,1,False,False,False,14,0
27,1.12,0,0,False,False,True,37,0
27,7.44,0,1,False,False,True,19,0
28,1.33,0,0,False,False,False,37,0
28,1.24,0,1,False,False,False,17,0
29,1.81,0,1,False,False,False,53,0
29,7.99,0,1,False,False,False,26,0
30,1.0,0,0,True,False,False,45,0
30,2.81,0,1,True,False,False,23,0
31,2.29,0,0,False,False,False,51,0
31,1.05,0,0,False,False,False,24,0
31,2.11,1,1,False,False,False,3,0
32,1.18,0,0,False,False,False,37,0
32,1.74,0,1,False,False,False,17,0
33,1.23,0,1,False,True,False,49,0
33,1.0,0,1,False,True,False,30,0
33,2.18,0,1,False,True,False,10,0
34,2.9,0,0,False,False,False,47,0
34,1.39,0,0,False,False,False,18,0
35,1.23,0,1,True,False,False,55,0
35,33.46,0,1,True,False,False,38,1
