minute,Y,d,maximise,multiple_of_5,last_digit_3,last_digit_7,seconds_remaining
40,1.0,0,1,True,False,False,50
40,1.09,1,1,True,False,False,60
44,1.05,0,0,False,False,False,37
45,7.68,0,0,True,False,False,36
45,1.39,0,1,True,False,False,11
51,1.83,0,1,False,False,False,19
51,1.25,1,1,False,False,False,5
52,1.7,0,1,False,False,False,46
52,1.43,0,1,False,False,False,25
52,1.19,1,1,False,False,False,5
53,1.74,0,1,False,True,False,49
53,5.2,0,1,False,True,False,29
54,4.72,0,0,False,False,False,53
54,1.68,0,0,False,False,False,20
55,2.69,0,1,True,False,False,60
55,2.76,0,0,True,False,False,34
55,7.78,1,0,True,False,False,6
56,2.09,0,0,False,False,False,29
56,1.28,1,0,False,False,False,4
57,12.49,0,1,False,False,True,36
58,1.18,0,0,False,False,False,49
58,1.41,0,1,False,False,False,35
58,2.47,0,1,False,False,False,15
59,3.17,0,0,False,False,False,51
59,3.95,0,0,False,False,False,22
0,5.02,0,0,True,False,False,49
0,1.64,0,0,True,False,False,14
1,1.73,0,1,False,False,False,52
1,1.77,0,1,False,False,False,13
2,19.18,0,1,False,False,False,60
2,6.26,1,0,False,False,False,7
3,6.11,0,0,False,True,False,29
4,1.83,0,0,False,False,False,50
4,1.42,0,1,False,False,False,21
4,5.18,1,1,False,False,False,6
5,1.44,0,0,True,False,False,22
5,1.96,1,1,True,False,False,3
6,1.19,0,1,False,False,False,36
6,2.42,0,1,False,False,False,17
7,2.33,0,0,False,False,True,47
7,2.08,0,0,False,False,True,22
8,6.73,0,0,False,False,False,52
8,3.21,0,0,False,False,False,13
9,2.23,0,0,False,False,False,45
9,9.96,0,0,False,False,False,17
10,1.7,0,0,True,False,False,31
10,3.49,1,1,True,False,False,9
11,1.16,0,0,False,False,False,39
11,1.36,0,1,False,False,False,19
12,1.02,0,1,False,False,False,58
12,1.45,0,1,False,False,False,40
12,1.8,0,1,False,False,False,19
13,1.35,0,1,False,True,False,58
13,1.4,0,1,False,True,False,41
13,1.02,0,1,False,True,False,19
13,2.05,1,1,False,True,False,8
14,2.17,0,0,False,False,False,42
14,1.32,0,0,False,False,False,18
14,3.61,1,1,False,False,False,1
15,1.3,0,0,True,False,False,31
15,1.12,0,1,True,False,False,13
16,1.02,0,1,False,False,False,55
16,2.36,0,1,False,False,False,38
16,1.04,0,0,False,False,False,15
16,6.05,1,1,False,False,False,3
17,3.29,0,0,False,False,True,25
18,1.06,0,0,False,False,False,58
18,5.53,0,1,False,False,False,43
18,6.75,1,0,False,False,False,7
19,32.72,0,0,False,False,False,32
20,5.92,0,0,True,False,False,34
20,1.66,1,0,True,False,False,1
21,1.22,0,1,False,False,False,41
21,3.41,0,1,False,False,False,25
22,3.34,0,0,False,False,False,57
22,2.66,0,0,False,False,False,28
22,2.84,1,0,False,False,False,1
23,10.68,0,0,False,True,False,30
24,1.0,0,0,False,False,False,46
24,1.47,0,1,False,False,False,27
24,1.15,1,1,False,False,False,7
25,1.0,0,1,True,False,False,47
25,1.0,0,1,True,False,False,32
25,2.72,0,1,True,False,False,18
26,3.05,0,0,False,False,False,51
26,1.91,0,0,False,False,False,22
27,16.53,0,1,False,False,True,60
27,1.99,1,0,False,False,True,9
28,1.78,0,1,False,False,False,47
29,3.98,0,1,False,False,False,43
29,26.47,0,0,False,False,False,10
30,14.04,0,0,True,False,False,10
31,3.01,0,0,False,False,False,24
32,393.46,0,0,False,False,False,54
33,2.32,0,0,False,True,False,21
34,2.59,0,0,False,False,False,58
34,1.55,0,0,False,False,False,24
34,1.55,1,1,False,False,False,3
35,2.04,0,1,True,False,False,41
35,1.59,0,0,True,False,False,17
36,2.7,0,1,False,False,False,53
36,8.21,0,0,False,False,False,21
37,3.35,0,0,False,False,True,40
37,1.14,1,0,False,False,True,6
38,1.37,0,1,False,False,False,45
38,1.38,0,1,False,False,False,21
39,8.3,0,1,False,False,False,60
39,1.63,0,0,False,False,False,11
40,75.0,0,1,True,False,False,49
41,1.33,0,0,False,False,False,37
42,13.3,0,1,False,False,False,52
42,8.31,0,0,False,False,False,28
43,1.12,0,0,False,True,False,43
43,2.45,0,1,False,True,False,24
44,4.53,0,0,False,False,False,54
44,3.17,0,0,False,False,False,14
45,8.16,0,0,True,False,False,43
46,1.26,1,0,False,False,False,9
47,1.19,0,1,False,False,True,44
47,3.25,0,1,False,False,True,22
48,6.33,0,0,False,False,False,51
48,1.19,1,0,False,False,False,5
49,1.67,0,1,False,False,False,40
49,20.73,0,1,False,False,False,14
50,1.76,0,0,True,False,False,17
51,17.43,0,1,False,False,False,52
52,2.24,0,0,False,False,False,57
52,1.59,0,0,False,False,False,31
52,13.98,1,1,False,False,False,4
53,1.0,1,0,False,True,False,6
54,1.18,0,1,False,False,False,48
54,1.36,0,1,False,False,False,22
55,23.65,0,1,True,False,False,60
56,1.25,0,0,False,False,False,57
56,2.27,0,1,False,False,False,39
56,3.32,1,0,False,False,False,9
0,3.92,0,0,True,False,False,46
0,1.17,0,0,True,False,False,39
0,2.52,0,1,True,False,False,16
1,2.56,0,0,False,False,False,45
1,1.27,0,0,False,False,False,17
2,2.73,0,1,False,False,False,54
3,4.13,0,0,False,True,False,48
3,1.18,1,0,False,True,False,9
4,3.08,0,1,False,False,False,49
4,2.33,0,0,False,False,False,13
5,1.31,0,0,True,False,False,43
5,1.0,0,1,True,False,False,18
6,1.08,0,1,False,False,False,56
6,2.78,0,1,False,False,False,34
6,1.11,1,0,False,False,False,5
7,256.15,0,1,False,False,True,42
8,2.08,0,0,False,False,False,11
9,1.26,0,0,False,False,False,47
9,11.84,0,1,False,False,False,14
10,3.21,0,0,True,False,False,26
11,1.03,0,0,False,False,False,47
11,2.11,0,1,False,False,False,21
12,1.4,0,0,False,False,False,54
12,2.44,0,1,False,False,False,29
13,1.03,0,0,False,True,False,59
13,1.01,0,1,False,True,False,33
13,7.36,1,1,False,True,False,7
14,1.5,0,0,False,False,False,26
14,1.03,1,1,False,False,False,5
15,1.01,0,1,True,False,False,47
15,1.85,0,1,True,False,False,26
15,2.95,1,1,True,False,False,3
16,1.85,0,0,False,False,False,32
16,1.41,1,1,False,False,False,7
17,4.43,0,1,False,False,True,40
17,3.86,1,0,False,False,True,8
18,1.74,0,0,False,False,False,32
18,2.17,0,1,False,False,False,10
19,4.9,0,0,False,False,False,35
20,1.1,0,0,True,False,False,55
20,1.52,0,1,True,False,False,36
20,4.41,0,1,True,False,False,12
21,10.07,0,0,False,False,False,39
22,1.04,0,0,False,False,False,54
22,10.24,0,1,False,False,False,36
23,2.75,0,0,False,True,False,49
23,3.02,0,0,False,True,False,20
24,1.71,0,0,False,False,False,51
24,1.88,0,1,False,False,False,27
24,3.54,1,1,False,False,False,1
25,6.94,0,0,True,False,False,15
26,1.25,0,0,False,False,False,32
26,4.23,0,1,False,False,False,14
27,1.12,0,0,False,False,True,37
27,7.44,0,1,False,False,True,19
28,1.33,0,0,False,False,False,37
28,1.24,0,1,False,False,False,17
29,1.81,0,1,False,False,False,53
29,7.99,0,1,False,False,False,26
30,1.0,0,0,True,False,False,45
30,2.81,0,1,True,False,False,23
31,2.29,0,0,False,False,False,51
31,1.05,0,0,False,False,False,24
31,2.11,1,1,False,False,False,3
32,1.18,0,0,False,False,False,37
32,1.74,0,1,False,False,False,17
33,1.23,0,1,False,True,False,49
33,1.0,0,1,False,True,False,30
33,2.18,0,1,False,True,False,10
34,2.9,0,0,False,False,False,47
34,1.39,0,0,False,False,False,18
35,1.23,0,1,True,False,False,55
35,33.46,0,1,True,False,False,38
36,3.11,0,0,False,False,False,39
36,1.9,1,0,False,False,False,7
37,1.63,0,1,False,False,True,43
37,1.02,0,1,False,False,True,17
38,2.96,0,1,False,False,False,58
38,4.49,0,0,False,False,False,30
39,1.12,0,0,False,False,False,55
39,3.93,0,1,False,False,False,36
39,2.91,1,0,False,False,False,4
40,1.31,0,0,True,False,False,23
40,1.73,1,1,True,False,False,7
41,2.08,0,1,False,False,False,45
41,1.24,0,0,False,False,False,17
42,1.02,0,1,False,False,False,40
42,1.29,0,1,False,False,False,37
42,1022.1,0,1,False,False,False,26
44,2.33,0,0,False,False,False,46
45,1.73,0,0,True,False,False,59
45,19.0,0,1,True,False,False,30
46,1.15,0,0,False,False,False,37
46,2.97,0,1,False,False,False,21
47,1.1,0,0,False,False,True,53
47,1.16,0,1,False,False,True,35
47,1.61,0,1,False,False,True,21
48,3.22,0,1,False,False,False,55
48,1.5,0,0,False,False,False,29
48,2.19,1,1,False,False,False,9
49,2.25,0,0,False,False,False,46
49,1.08,1,0,False,False,False,9
50,1.99,0,1,True,False,False,53
50,1.18,0,1,True,False,False,31
50,21.07,0,1,True,False,False,14
51,3.37,0,0,False,False,False,25
52,2.98,0,0,False,False,False,54
52,1.45,0,0,False,False,False,26
52,4.87,1,1,False,False,False,4
53,1.71,0,0,False,True,False,30
53,1.91,0,1,False,True,False,10
54,1.38,0,1,False,False,False,45
54,4.63,0,1,False,False,False,23
55,1.53,0,0,True,False,False,50
55,1.01,0,1,True,False,False,31
55,1.63,0,1,True,False,False,12
56,1.83,0,1,False,False,False,53
56,2.17,0,1,False,False,False,33
56,1.91,0,0,False,False,False,10
57,1.17,0,1,False,False,True,47
57,3.85,0,1,False,False,True,24
58,21.39,0,0,False,False,False,52
58,2.31,1,0,False,False,False,1
59,1.8,0,0,False,False,False,39
59,1.54,0,1,False,False,False,17
0,1.11,0,1,True,False,False,58
0,16.18,0,1,True,False,False,30
18,1.34,0,0,False,False,False,37
18,1.06,0,1,False,False,False,34
18,1.64,0,1,False,False,False,24
18,12.75,1,1,False,False,False,2
19,12.86,0,0,False,False,False,20
20,2.51,0,0,True,False,False,36
20,2.31,1,0,True,False,False,7
21,1.3,0,0,False,False,False,42
21,4.46,0,1,False,False,False,25
22,1.0,0,0,False,False,False,49
22,3.67,0,1,False,False,False,37
22,2.13,1,0,False,False,False,6
23,2.04,0,0,False,True,False,45
14,2.44,0,0,False,False,False,57
14,1.01,0,0,False,False,False,51
14,1.56,0,1,False,False,False,17
14,1.41,1,1,False,False,False,6
15,1.72,0,1,True,False,False,45
15,2.25,0,1,True,False,False,26
16,7.93,0,0,False,False,False,59
16,1.01,0,0,False,False,False,21
16,4.38,1,1,False,False,False,8
17,4.45,0,0,False,False,True,35
17,1.7,1,0,False,False,True,3
18,1.26,0,1,False,False,False,41
18,1.62,0,1,False,False,False,23
19,19.28,0,1,False,False,False,60
19,6.78,1,0,False,False,False,8
20,1.0,0,0,True,False,False,26
20,4.67,0,1,True,False,False,15
21,1.0,0,0,False,False,False,42
21,22.52,0,1,False,False,False,25
22,1.15,0,0,False,False,False,24
22,1.09,0,1,False,False,False,14
23,4.02,0,1,False,True,False,58
23,5.3,0,0,False,True,False,27
24,2.17,0,0,False,False,False,50
24,1.86,0,0,False,False,False,28
25,5.69,0,1,True,False,False,58
25,1.73,0,0,True,False,False,20
26,1.2,0,1,False,False,False,58
26,2.06,0,1,False,False,False,31
26,1.01,0,0,False,False,False,10
27,3.24,0,1,False,False,True,53
27,4.03,0,0,False,False,True,23
28,2.24,0,0,False,False,False,53
28,2.06,0,0,False,False,False,27
28,5.41,1,0,False,False,False,1
29,4.84,0,0,False,False,False,30
30,1.66,0,0,True,False,False,53
30,235.18,0,1,True,False,False,28
32,1.15,0,0,False,False,False,59
32,1.08,0,1,False,False,False,47
32,6.01,0,1,False,False,False,31
33,8.01,0,0,False,True,False,50
33,12.74,0,0,False,True,False,13
34,14.17,0,0,False,False,False,27
35,4.04,0,0,True,False,False,38
35,6.09,1,0,True,False,False,7
36,6.52,0,0,False,False,False,28
37,1.09,0,0,False,False,True,49
37,1.27,1,1,False,False,True,9
38,56.23,0,1,False,False,False,55
38,2.44,1,0,False,False,False,3
39,3.78,0,0,False,False,False,34
40,1.07,0,0,True,False,False,56
40,2.75,0,1,True,False,False,43
41,1.07,0,0,False,False,False,55
41,1.0,0,1,False,False,False,48
41,1.21,0,1,False,False,False,30
41,1.0,0,1,False,False,False,10
42,1.3,0,1,False,False,False,51
42,1.27,0,1,False,False,False,29
42,8.02,0,1,False,False,False,11
43,1.85,0,0,False,True,False,31
43,1.0,1,1,False,True,False,6
44,2.04,0,1,False,False,False,51
44,2.38,0,0,False,False,False,28
45,4.89,0,0,True,False,False,56
45,1.25,0,0,True,False,False,19
45,22.12,1,1,True,False,False,1
46,2.73,1,0,False,False,False,7
47,2.15,0,0,False,False,True,37
47,1.66,0,0,False,False,True,10
48,74.23,0,1,False,False,False,44
49,1.72,0,0,False,False,False,32
49,4.49,1,1,False,False,False,6
50,1.63,0,0,True,False,False,29
50,2.69,1,1,True,False,False,9
51,1.0,0,0,False,False,False,36
51,5.72,0,1,False,False,False,13
52,2.32,0,0,False,False,False,37
53,1.52,0,0,False,True,False,58
53,4.0,0,1,False,True,False,35
54,1.32,0,0,False,False,False,57
54,25.7,0,1,False,False,False,33
55,1.0,0,0,True,False,False,36
55,2.15,0,1,True,False,False,17
56,1.0,0,0,False,False,False,48
56,2.09,0,1,False,False,False,30
56,1.92,1,0,False,False,False,8
57,2.18,0,1,False,False,True,41
57,1.53,0,0,False,False,True,14
58,11.63,0,1,False,False,False,52
59,3.67,0,0,False,False,False,43
59,7.15,0,0,False,False,False,17
0,1.0,0,0,True,False,False,20
0,5.22,1,1,True,False,False,6
1,1.65,0,0,False,False,False,31
1,4.45,1,1,False,False,False,5
2,1.78,0,0,False,False,False,32
2,1.73,0,1,False,False,False,12
3,7.98,0,1,False,True,False,46
4,3.24,0,0,False,False,False,49
4,2.59,0,0,False,False,False,15
5,11.73,0,0,True,False,False,48
6,1.2,0,0,False,False,False,59
6,1.0,0,1,False,False,False,43
6,1.51,0,1,False,False,False,27
6,3.06,1,1,False,False,False,5
7,3.71,0,0,False,False,True,35
7,2.0,1,0,False,False,True,4
8,1.93,0,0,False,False,False,25
10,61.13,0,1,True,False,False,57
10,2.46,0,0,True,False,False,47
10,1.54,0,0,True,False,False,20
11,29.07,0,1,False,False,False,58
12,5.07,0,0,False,False,False,60
12,12.31,0,0,False,False,False,17
13,4.16,0,0,False,True,False,28
14,1.06,0,0,False,False,False,55
14,1.52,0,1,False,False,False,36
14,2.52,0,1,False,False,False,13
15,2.0,0,0,True,False,False,37
15,1.09,0,0,True,False,False,11
16,2.08,0,1,False,False,False,46
16,7.69,0,0,False,False,False,19
17,3.81,0,0,False,False,True,37
